timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB],,memory.used,[MiB], temperature.gpu,,power.draw,[W],,GPU Utilization,Memory Utlization,Used memory,Temp,Power
07:48.2, NVIDIA A100-SXM4-80GB,74%,58%, 81920 MiB, 48524 MiB,,32575,MiB,60,,236.21,W,,,,,,
07:49.2, NVIDIA A100-SXM4-80GB,71%,56%, 81920 MiB, 48524 MiB,,32575,MiB,60,,268.67,W,,,,,,
07:50.2, NVIDIA A100-SXM4-80GB,72%,56%, 81920 MiB, 48524 MiB,,32575,MiB,60,,247.99,W,,,,,,
07:51.2, NVIDIA A100-SXM4-80GB,72%,57%, 81920 MiB, 48524 MiB,,32575,MiB,60,,223.58,W,,,,,,
07:52.2, NVIDIA A100-SXM4-80GB,73%,57%, 81920 MiB, 48524 MiB,,32575,MiB,60,,297.35,W,,,,,,
07:53.2, NVIDIA A100-SXM4-80GB,86%,64%, 81920 MiB, 48524 MiB,,32575,MiB,60,,235.95,W,,,,,,
07:54.2, NVIDIA A100-SXM4-80GB,86%,67%, 81920 MiB, 48524 MiB,,32575,MiB,60,,235.1,W,,,,,,
07:55.2, NVIDIA A100-SXM4-80GB,83%,65%, 81920 MiB, 48524 MiB,,32575,MiB,60,,276.93,W,,,,,,
07:56.2, NVIDIA A100-SXM4-80GB,82%,64%, 81920 MiB, 48524 MiB,,32575,MiB,60,,288.73,W,,,,,,
07:57.2, NVIDIA A100-SXM4-80GB,81%,63%, 81920 MiB, 48524 MiB,,32575,MiB,60,,245.3,W,,,,,,
07:58.2, NVIDIA A100-SXM4-80GB,77%,60%, 81920 MiB, 48524 MiB,,32575,MiB,60,,228.44,W,,,,,,
07:59.2, NVIDIA A100-SXM4-80GB,74%,58%, 81920 MiB, 48524 MiB,,32575,MiB,60,,228.97,W,,,,,,
08:00.2, NVIDIA A100-SXM4-80GB,74%,58%, 81920 MiB, 48524 MiB,,32575,MiB,59,,278.08,W,,,,,,
08:01.2, NVIDIA A100-SXM4-80GB,71%,56%, 81920 MiB, 48524 MiB,,32575,MiB,59,,235.12,W,,,,,,
08:02.2, NVIDIA A100-SXM4-80GB,71%,56%, 81920 MiB, 48524 MiB,,32575,MiB,60,,229.21,W,,,,,,
08:03.2, NVIDIA A100-SXM4-80GB,71%,56%, 81920 MiB, 48524 MiB,,32575,MiB,59,,255.21,W,,,,,,
08:04.2, NVIDIA A100-SXM4-80GB,71%,56%, 81920 MiB, 48524 MiB,,32575,MiB,60,,207.45,W,,,,,,
08:05.3, NVIDIA A100-SXM4-80GB,73%,57%, 81920 MiB, 48524 MiB,,32575,MiB,60,,186.29,W,,,,,,
08:06.3, NVIDIA A100-SXM4-80GB,71%,56%, 81920 MiB, 48524 MiB,,32575,MiB,61,,278.28,W,,,,,,
08:07.3, NVIDIA A100-SXM4-80GB,71%,56%, 81920 MiB, 48524 MiB,,32575,MiB,61,,316.45,W,,,,,,
08:08.3, NVIDIA A100-SXM4-80GB,71%,56%, 81920 MiB, 48524 MiB,,32575,MiB,61,,327.11,W,,,,,,
08:09.3, NVIDIA A100-SXM4-80GB,74%,58%, 81920 MiB, 48524 MiB,,32575,MiB,61,,333.12,W,,,,,,
08:10.3, NVIDIA A100-SXM4-80GB,71%,56%, 81920 MiB, 48524 MiB,,32575,MiB,61,,337.3,W,,,,,,
08:11.3, NVIDIA A100-SXM4-80GB,71%,56%, 81920 MiB, 48524 MiB,,32575,MiB,61,,334.79,W,,,,,,
08:12.3, NVIDIA A100-SXM4-80GB,71%,56%, 81920 MiB, 48524 MiB,,32575,MiB,61,,343.73,W,,,,,,
08:13.3, NVIDIA A100-SXM4-80GB,71%,56%, 81920 MiB, 48524 MiB,,32575,MiB,61,,332.73,W,,,,,,
08:14.3, NVIDIA A100-SXM4-80GB,69%,54%, 81920 MiB, 48524 MiB,,32575,MiB,61,,268.36,W,,,,,,
08:15.3, NVIDIA A100-SXM4-80GB,68%,51%, 81920 MiB, 48524 MiB,,32575,MiB,61,,258.96,W,,,,,,
08:16.3, NVIDIA A100-SXM4-80GB,71%,53%, 81920 MiB, 48524 MiB,,32575,MiB,60,,248.52,W,,,,,,
08:17.3, NVIDIA A100-SXM4-80GB,75%,56%, 81920 MiB, 48524 MiB,,32575,MiB,61,,297.77,W,,,,,,
08:18.3, NVIDIA A100-SXM4-80GB,78%,58%, 81920 MiB, 48524 MiB,,32575,MiB,61,,239.95,W,,,,,,
08:19.3, NVIDIA A100-SXM4-80GB,73%,54%, 81920 MiB, 48524 MiB,,32575,MiB,60,,249.15,W,,,,,,
08:20.3, NVIDIA A100-SXM4-80GB,75%,59%, 81920 MiB, 48524 MiB,,32575,MiB,60,,226.83,W,,,,,,
08:21.3, NVIDIA A100-SXM4-80GB,81%,61%, 81920 MiB, 48524 MiB,,32575,MiB,60,,249.1,W,,,,,,
08:22.4, NVIDIA A100-SXM4-80GB,83%,62%, 81920 MiB, 48524 MiB,,32575,MiB,60,,297.24,W,,,,,,
08:23.4, NVIDIA A100-SXM4-80GB,85%,63%, 81920 MiB, 48524 MiB,,32575,MiB,61,,245.01,W,,,,,,
08:24.4, NVIDIA A100-SXM4-80GB,83%,62%, 81920 MiB, 48524 MiB,,32575,MiB,60,,226.27,W,,,,,,
08:25.4, NVIDIA A100-SXM4-80GB,73%,57%, 81920 MiB, 48524 MiB,,32575,MiB,60,,262.81,W,,,,,,
08:26.4, NVIDIA A100-SXM4-80GB,72%,57%, 81920 MiB, 48524 MiB,,32575,MiB,60,,275.11,W,,,,,,
08:27.4, NVIDIA A100-SXM4-80GB,72%,57%, 81920 MiB, 48524 MiB,,32575,MiB,61,,268.36,W,,,,,,
08:28.4, NVIDIA A100-SXM4-80GB,71%,56%, 81920 MiB, 48524 MiB,,32575,MiB,61,,230.83,W,,,,,,
08:29.4, NVIDIA A100-SXM4-80GB,72%,56%, 81920 MiB, 48524 MiB,,32575,MiB,60,,241.05,W,,,,,,
08:30.4, NVIDIA A100-SXM4-80GB,72%,56%, 81920 MiB, 48524 MiB,,32575,MiB,60,,250.69,W,,,,,,
08:31.4, NVIDIA A100-SXM4-80GB,73%,57%, 81920 MiB, 48524 MiB,,32575,MiB,61,,271.8,W,,,,,,
08:32.4, NVIDIA A100-SXM4-80GB,71%,56%, 81920 MiB, 48524 MiB,,32575,MiB,61,,251.75,W,,,,,,
08:33.4, NVIDIA A100-SXM4-80GB,71%,56%, 81920 MiB, 48524 MiB,,32575,MiB,60,,225.72,W,,,,,,
08:34.4, NVIDIA A100-SXM4-80GB,71%,56%, 81920 MiB, 48524 MiB,,32575,MiB,60,,264.89,W,,,,,,
08:35.4, NVIDIA A100-SXM4-80GB,74%,58%, 81920 MiB, 48524 MiB,,32575,MiB,60,,251.22,W,,,,,,
08:36.4, NVIDIA A100-SXM4-80GB,72%,56%, 81920 MiB, 48524 MiB,,32575,MiB,60,,283.87,W,,,,,,
08:37.4, NVIDIA A100-SXM4-80GB,74%,57%, 81920 MiB, 48524 MiB,,32575,MiB,60,,261.67,W,,,,,,
08:38.4, NVIDIA A100-SXM4-80GB,71%,56%, 81920 MiB, 48524 MiB,,32575,MiB,60,,232.44,W,,,,,,
08:39.4, NVIDIA A100-SXM4-80GB,71%,55%, 81920 MiB, 48524 MiB,,32575,MiB,61,,243.42,W,,,,,,
08:40.4, NVIDIA A100-SXM4-80GB,71%,56%, 81920 MiB, 48524 MiB,,32575,MiB,61,,223.84,W,,,,,,
08:41.4, NVIDIA A100-SXM4-80GB,73%,57%, 81920 MiB, 48524 MiB,,32575,MiB,61,,141.49,W,,,,,,
08:42.5, NVIDIA A100-SXM4-80GB,71%,56%, 81920 MiB, 48524 MiB,,32575,MiB,61,,272.43,W,,,,,,
08:43.5, NVIDIA A100-SXM4-80GB,72%,56%, 81920 MiB, 48524 MiB,,32575,MiB,61,,285.41,W,,,,,,
08:44.5, NVIDIA A100-SXM4-80GB,72%,56%, 81920 MiB, 48524 MiB,,32575,MiB,62,,326.29,W,,,,,,
08:45.5, NVIDIA A100-SXM4-80GB,74%,57%, 81920 MiB, 48524 MiB,,32575,MiB,62,,329.23,W,,,,,,
08:46.5, NVIDIA A100-SXM4-80GB,73%,57%, 81920 MiB, 48524 MiB,,32575,MiB,62,,340.38,W,,,,,,
08:47.5, NVIDIA A100-SXM4-80GB,72%,56%, 81920 MiB, 48524 MiB,,32575,MiB,61,,340.23,W,,,,,,
08:48.5, NVIDIA A100-SXM4-80GB,72%,56%, 81920 MiB, 48524 MiB,,32575,MiB,61,,334.08,W,,,,,,
08:49.5, NVIDIA A100-SXM4-80GB,69%,54%, 81920 MiB, 48524 MiB,,32575,MiB,61,,259.79,W,,,,,,
08:50.5, NVIDIA A100-SXM4-80GB,67%,49%, 81920 MiB, 48524 MiB,,32575,MiB,61,,251.22,W,,,,,,
08:51.5, NVIDIA A100-SXM4-80GB,68%,50%, 81920 MiB, 48524 MiB,,32575,MiB,61,,243.17,W,,,,,,
08:52.5, NVIDIA A100-SXM4-80GB,72%,54%, 81920 MiB, 48524 MiB,,32575,MiB,61,,257.97,W,,,,,,
08:53.5, NVIDIA A100-SXM4-80GB,75%,56%, 81920 MiB, 48524 MiB,,32575,MiB,61,,277.51,W,,,,,,
08:54.5, NVIDIA A100-SXM4-80GB,78%,58%, 81920 MiB, 48524 MiB,,32575,MiB,61,,250.64,W,,,,,,
08:55.5, NVIDIA A100-SXM4-80GB,78%,58%, 81920 MiB, 48524 MiB,,32575,MiB,61,,247.75,W,,,,,,
08:56.5, NVIDIA A100-SXM4-80GB,81%,61%, 81920 MiB, 48524 MiB,,32575,MiB,61,,267.59,W,,,,,,
08:57.5, NVIDIA A100-SXM4-80GB,82%,62%, 81920 MiB, 48524 MiB,,32575,MiB,61,,270.87,W,,,,,,
08:58.5, NVIDIA A100-SXM4-80GB,84%,63%, 81920 MiB, 48524 MiB,,32575,MiB,61,,231.09,W,,,,,,
08:59.5, NVIDIA A100-SXM4-80GB,83%,62%, 81920 MiB, 48524 MiB,,32575,MiB,61,,243.17,W,,,,,,
09:00.6, NVIDIA A100-SXM4-80GB,83%,62%, 81920 MiB, 48524 MiB,,32575,MiB,61,,290.9,W,,,,,,
09:01.6, NVIDIA A100-SXM4-80GB,85%,63%, 81920 MiB, 48524 MiB,,32575,MiB,61,,245.3,W,,,,,,
09:02.6, NVIDIA A100-SXM4-80GB,87%,67%, 81920 MiB, 48524 MiB,,32575,MiB,61,,231.11,W,,,,,,
09:03.6, NVIDIA A100-SXM4-80GB,83%,65%, 81920 MiB, 48524 MiB,,32575,MiB,61,,285.88,W,,,,,,
09:04.6, NVIDIA A100-SXM4-80GB,82%,64%, 81920 MiB, 48524 MiB,,32575,MiB,61,,252.04,W,,,,,,
09:05.6, NVIDIA A100-SXM4-80GB,78%,61%, 81920 MiB, 48524 MiB,,32575,MiB,61,,235.92,W,,,,,,
09:06.6, NVIDIA A100-SXM4-80GB,74%,58%, 81920 MiB, 48524 MiB,,32575,MiB,61,,272.12,W,,,,,,
09:07.6, NVIDIA A100-SXM4-80GB,74%,58%, 81920 MiB, 48524 MiB,,32575,MiB,61,,255.8,W,,,,,,
09:08.6, NVIDIA A100-SXM4-80GB,72%,56%, 81920 MiB, 48524 MiB,,32575,MiB,61,,226.01,W,,,,,,
09:09.6, NVIDIA A100-SXM4-80GB,72%,56%, 81920 MiB, 48524 MiB,,32575,MiB,61,,188.7,W,,,,,,
09:10.6, NVIDIA A100-SXM4-80GB,74%,58%, 81920 MiB, 48524 MiB,,32575,MiB,62,,275.87,W,,,,,,
09:11.6, NVIDIA A100-SXM4-80GB,72%,56%, 81920 MiB, 48524 MiB,,32575,MiB,62,,322.16,W,,,,,,
09:12.6, NVIDIA A100-SXM4-80GB,72%,57%, 81920 MiB, 48524 MiB,,32575,MiB,62,,334.37,W,,,,,,
